Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,AUC,,68.8,68.6,69.4,69.4,32.7,29.8,114.0,46.1,138.8,113.8
emt-dlfr,0.0,,"(83.19, 0.42)","(83.08, 0.42)","(85.27, 0.38)","(85.22, 0.38)","(52.67, 0.97)","(46.11, 0.77)","(70.69, 0.16)","(79.69, 0.3)","(70.77, 0.6)","(70.77, 0.6)"
emt-dlfr,0.1,,"(80.12, 0.56)","(80.07, 0.52)","(81.96, 0.69)","(81.97, 0.65)","(49.9, 1.37)","(44.17, 1.33)","(77.19, 0.4)","(75.78, 0.11)","(100.18, 1.51)","(77.45, 0.79)"
emt-dlfr,0.2,,"(77.65, 0.79)","(77.67, 0.78)","(78.91, 0.83)","(79.0, 0.81)","(42.86, 0.2)","(37.8, 0.36)","(89.78, 1.1)","(68.62, 0.68)","(113.15, 1.32)","(89.6, 1.25)"
emt-dlfr,0.3,,"(74.73, 0.42)","(74.72, 0.4)","(75.66, 0.61)","(75.74, 0.61)","(38.53, 3.27)","(34.5, 3.04)","(99.44, 3.93)","(63.1, 0.37)","(124.08, 4.02)","(99.46, 4.19)"
emt-dlfr,0.4,,"(71.19, 0.48)","(71.26, 0.48)","(71.8, 0.33)","(71.96, 0.32)","(34.5, 1.13)","(30.76, 1.04)","(107.41, 2.32)","(54.79, 1.1)","(133.17, 3.05)","(107.72, 2.82)"
emt-dlfr,0.5,,"(69.19, 1.18)","(69.25, 1.19)","(69.67, 1.22)","(69.83, 1.24)","(29.4, 1.85)","(27.11, 1.04)","(120.33, 2.35)","(45.51, 2.03)","(147.59, 2.31)","(120.96, 2.3)"
emt-dlfr,0.6,,"(65.89, 0.84)","(65.92, 0.81)","(66.16, 1.02)","(66.28, 0.99)","(29.11, 1.2)","(27.31, 1.14)","(124.19, 2.77)","(36.56, 2.53)","(151.92, 2.59)","(123.9, 3.29)"
emt-dlfr,0.7,,"(60.98, 2.08)","(60.55, 2.77)","(61.28, 2.52)","(60.97, 3.23)","(25.9, 2.55)","(24.1, 1.99)","(135.22, 7.07)","(30.19, 1.35)","(163.67, 7.65)","(135.53, 8.03)"
emt-dlfr,0.8,,"(60.74, 2.17)","(60.55, 2.36)","(60.77, 1.62)","(60.73, 1.83)","(23.03, 1.44)","(22.11, 1.07)","(135.74, 1.36)","(25.43, 4.84)","(166.57, 1.1)","(136.11, 0.63)"
emt-dlfr,0.9,,"(55.93, 1.58)","(55.24, 1.89)","(55.74, 2.2)","(55.2, 2.48)","(18.71, 1.69)","(18.32, 1.47)","(143.89, 4.72)","(12.97, 4.61)","(174.14, 5.71)","(144.19, 4.39)"
emt-dlfr,1.0,,"(53.3, 3.48)","(49.26, 9.36)","(52.44, 4.54)","(48.52, 10.45)","(16.23, 0.81)","(16.23, 0.81)","(146.04, 4.89)","(7.0, 1.45)","(175.38, 5.18)","(145.96, 4.65)"
emt-dlfr,AUC,,68.5,68.1,69.1,68.9,32.6,29.7,114.2,45.6,139.8,114.3
emt-dlfr,0.0,,"(82.85, 0.54)","(82.76, 0.52)","(84.66, 0.38)","(84.62, 0.35)","(51.75, 1.35)","(45.43, 1.17)","(71.63, 1.27)","(79.44, 0.14)","(71.7, 1.6)","(71.7, 1.6)"
emt-dlfr,0.1,,"(79.5, 0.42)","(79.49, 0.39)","(81.0, 0.43)","(81.05, 0.41)","(47.96, 0.84)","(42.91, 0.42)","(79.46, 0.82)","(75.34, 0.15)","(101.44, 1.16)","(78.64, 0.85)"
emt-dlfr,0.2,,"(77.11, 0.66)","(77.17, 0.67)","(78.05, 0.57)","(78.17, 0.57)","(42.71, 0.12)","(38.68, 0.14)","(89.97, 1.3)","(69.1, 0.28)","(112.85, 1.5)","(89.95, 1.44)"
emt-dlfr,0.3,,"(74.54, 0.38)","(74.6, 0.37)","(75.51, 0.4)","(75.65, 0.39)","(38.09, 0.36)","(33.87, 0.59)","(98.76, 0.87)","(62.57, 0.5)","(123.18, 1.48)","(98.62, 0.48)"
emt-dlfr,0.4,,"(72.79, 0.73)","(72.85, 0.73)","(73.32, 0.78)","(73.46, 0.78)","(33.58, 1.02)","(30.42, 1.42)","(107.35, 0.72)","(54.74, 1.48)","(134.03, 3.7)","(108.16, 1.31)"
emt-dlfr,0.5,,"(69.24, 1.4)","(69.24, 1.45)","(69.61, 1.74)","(69.72, 1.76)","(28.38, 1.31)","(26.72, 0.72)","(118.52, 3.14)","(48.2, 0.91)","(146.12, 2.45)","(118.79, 2.85)"
emt-dlfr,0.6,,"(66.33, 1.76)","(66.38, 1.77)","(66.26, 1.72)","(66.44, 1.73)","(28.08, 0.73)","(26.34, 0.54)","(124.6, 0.63)","(40.33, 0.66)","(150.7, 2.16)","(124.92, 1.13)"
emt-dlfr,0.7,,"(63.31, 1.44)","(63.23, 1.53)","(63.57, 1.26)","(63.59, 1.37)","(25.56, 1.67)","(24.2, 1.67)","(130.88, 1.99)","(34.44, 0.35)","(158.86, 2.04)","(131.08, 2.56)"
emt-dlfr,0.8,,"(59.04, 2.33)","(58.4, 2.6)","(58.64, 2.49)","(58.15, 2.79)","(21.52, 3.39)","(20.55, 2.69)","(141.61, 3.29)","(23.95, 5.29)","(171.12, 4.03)","(141.88, 2.66)"
emt-dlfr,0.9,,"(51.36, 4.68)","(45.39, 12.53)","(50.15, 5.6)","(44.27, 13.58)","(17.74, 3.13)","(17.54, 2.85)","(145.52, 1.7)","(10.78, 4.58)","(174.19, 1.52)","(144.78, 1.21)"
emt-dlfr,1.0,,"(51.31, 4.78)","(45.0, 12.4)","(49.9, 5.68)","(43.7, 13.39)","(16.03, 0.63)","(16.03, 0.63)","(146.75, 2.49)","(6.42, 1.15)","(174.99, 3.57)","(146.47, 2.26)"
emt-dlfr,AUC,,68.0,67.1,68.3,67.5,31.8,29.2,114.6,46.2,139.6,114.6
emt-dlfr,0.0,,"(82.94, 0.43)","(82.81, 0.53)","(84.96, 0.32)","(84.89, 0.33)","(51.65, 1.62)","(45.19, 1.13)","(72.11, 0.62)","(79.63, 0.15)","(72.22, 0.42)","(72.22, 0.42)"
emt-dlfr,0.1,,"(80.22, 0.77)","(80.18, 0.74)","(81.86, 0.87)","(81.88, 0.85)","(47.18, 1.91)","(42.13, 1.17)","(80.2, 1.23)","(75.08, 0.48)","(102.95, 1.35)","(79.97, 1.27)"
emt-dlfr,0.2,,"(77.7, 1.09)","(77.73, 1.07)","(78.96, 1.12)","(79.06, 1.09)","(43.73, 2.12)","(39.36, 1.95)","(88.93, 3.43)","(69.58, 0.92)","(112.09, 4.1)","(88.76, 3.5)"
emt-dlfr,0.3,,"(74.93, 0.63)","(74.98, 0.65)","(75.76, 0.45)","(75.89, 0.46)","(38.73, 0.54)","(34.84, 0.12)","(97.8, 1.07)","(63.16, 0.82)","(120.85, 1.8)","(97.44, 0.98)"
emt-dlfr,0.4,,"(71.86, 0.95)","(71.94, 0.95)","(72.31, 0.83)","(72.47, 0.83)","(35.08, 0.59)","(31.1, 1.03)","(108.2, 1.06)","(54.54, 0.73)","(133.0, 0.77)","(108.49, 0.77)"
emt-dlfr,0.5,,"(69.34, 1.01)","(69.38, 1.06)","(69.66, 1.31)","(69.81, 1.33)","(30.61, 1.49)","(28.09, 0.88)","(116.87, 1.37)","(48.67, 1.07)","(142.55, 0.62)","(117.28, 0.89)"
emt-dlfr,0.6,,"(66.18, 0.72)","(66.21, 0.76)","(66.41, 0.73)","(66.55, 0.75)","(28.86, 2.55)","(27.16, 2.03)","(125.34, 3.72)","(38.64, 2.09)","(152.15, 4.88)","(125.69, 4.08)"
emt-dlfr,0.7,,"(62.2, 1.13)","(62.01, 1.51)","(62.7, 1.76)","(62.65, 2.14)","(25.75, 1.93)","(24.25, 1.82)","(132.05, 5.36)","(32.53, 2.03)","(159.96, 4.36)","(132.36, 4.82)"
emt-dlfr,0.8,,"(60.35, 0.94)","(60.23, 0.8)","(60.26, 0.85)","(60.29, 0.76)","(22.21, 1.34)","(21.38, 1.01)","(136.09, 1.8)","(25.36, 2.04)","(166.26, 2.24)","(137.1, 2.04)"
emt-dlfr,0.9,,"(56.03, 0.6)","(55.75, 0.97)","(56.05, 0.87)","(55.9, 1.21)","(17.98, 3.79)","(17.69, 3.38)","(142.85, 2.85)","(11.58, 5.6)","(173.77, 4.81)","(143.28, 3.03)"
emt-dlfr,1.0,,"(51.31, 4.78)","(45.0, 12.4)","(49.9, 5.68)","(43.7, 13.39)","(16.03, 0.63)","(16.03, 0.63)","(146.75, 2.49)","(6.42, 1.15)","(174.99, 3.57)","(146.47, 2.26)"
emt-dlfr,AUC,,68.6,68.2,69.1,68.9,32.4,29.7,113.8,46.2,138.7,114.0
emt-dlfr,0.0,,"(82.85, 0.54)","(82.76, 0.52)","(84.66, 0.38)","(84.62, 0.35)","(51.75, 1.35)","(45.43, 1.17)","(71.63, 1.27)","(79.44, 0.14)","(71.7, 1.6)","(71.7, 1.6)"
emt-dlfr,0.1,,"(79.5, 0.42)","(79.49, 0.39)","(81.0, 0.43)","(81.05, 0.41)","(47.96, 0.84)","(42.91, 0.42)","(79.46, 0.82)","(75.34, 0.15)","(101.44, 1.16)","(78.64, 0.85)"
emt-dlfr,0.2,,"(77.11, 0.66)","(77.17, 0.67)","(78.05, 0.57)","(78.17, 0.57)","(42.71, 0.12)","(38.68, 0.14)","(89.97, 1.3)","(69.1, 0.28)","(112.85, 1.5)","(89.95, 1.44)"
emt-dlfr,0.3,,"(74.54, 0.38)","(74.6, 0.37)","(75.51, 0.4)","(75.65, 0.39)","(38.09, 0.36)","(33.87, 0.59)","(98.76, 0.87)","(62.57, 0.5)","(123.18, 1.48)","(98.62, 0.48)"
emt-dlfr,0.4,,"(72.79, 0.73)","(72.85, 0.73)","(73.32, 0.78)","(73.46, 0.78)","(33.58, 1.02)","(30.42, 1.42)","(107.35, 0.72)","(54.74, 1.48)","(134.03, 3.7)","(108.16, 1.31)"
emt-dlfr,0.5,,"(69.24, 1.4)","(69.24, 1.45)","(69.61, 1.74)","(69.72, 1.76)","(28.38, 1.31)","(26.72, 0.72)","(118.52, 3.14)","(48.2, 0.91)","(146.12, 2.45)","(118.79, 2.85)"
emt-dlfr,0.6,,"(66.33, 1.76)","(66.38, 1.77)","(66.26, 1.72)","(66.44, 1.73)","(28.08, 0.73)","(26.34, 0.54)","(124.6, 0.63)","(40.33, 0.66)","(150.7, 2.16)","(124.92, 1.13)"
emt-dlfr,0.7,,"(63.31, 1.44)","(63.23, 1.53)","(63.57, 1.26)","(63.59, 1.37)","(25.56, 1.67)","(24.2, 1.67)","(130.88, 1.99)","(34.44, 0.35)","(158.86, 2.04)","(131.08, 2.56)"
emt-dlfr,0.8,,"(59.04, 2.33)","(58.4, 2.6)","(58.64, 2.49)","(58.15, 2.79)","(21.52, 3.39)","(20.55, 2.69)","(141.61, 3.29)","(23.95, 5.29)","(171.12, 4.03)","(141.88, 2.66)"
emt-dlfr,0.9,,"(51.36, 4.68)","(45.39, 12.53)","(50.15, 5.6)","(44.27, 13.58)","(17.74, 3.13)","(17.54, 2.85)","(145.52, 1.7)","(10.78, 4.58)","(174.19, 1.52)","(144.78, 1.21)"
emt-dlfr,1.0,,"(51.31, 4.78)","(45.0, 12.4)","(49.9, 5.68)","(43.7, 13.39)","(16.03, 0.63)","(16.03, 0.63)","(146.75, 2.49)","(6.42, 1.15)","(174.99, 3.57)","(146.47, 2.26)"
emt-dlfr,AUC,,68.0,67.1,68.3,67.5,31.8,29.2,114.6,46.2,139.6,114.6
emt-dlfr,0.0,,"(81.78, 0.74)","(81.7, 0.77)","(83.59, 0.56)","(83.58, 0.58)","(50.39, 2.55)","(44.75, 2.07)","(73.35, 2.54)","(78.81, 0.86)","(73.22, 2.42)","(73.22, 2.42)"
emt-dlfr,0.1,,"(80.56, 0.07)","(80.55, 0.07)","(82.06, 0.19)","(82.11, 0.18)","(47.13, 0.48)","(41.69, 0.54)","(79.24, 1.49)","(75.63, 0.41)","(102.88, 1.38)","(79.58, 1.33)"
emt-dlfr,0.2,,"(78.09, 0.76)","(78.12, 0.76)","(79.32, 0.94)","(79.42, 0.93)","(43.68, 0.61)","(38.92, 0.66)","(87.38, 0.51)","(69.57, 0.54)","(109.9, 0.48)","(87.18, 0.55)"
emt-dlfr,0.3,,"(74.25, 0.37)","(74.3, 0.35)","(75.36, 0.26)","(75.48, 0.25)","(36.59, 2.27)","(33.38, 1.97)","(99.78, 4.04)","(62.33, 1.25)","(124.04, 3.2)","(99.5, 3.72)"
emt-dlfr,0.4,,"(72.4, 0.61)","(72.45, 0.58)","(73.17, 0.69)","(73.3, 0.65)","(32.85, 0.85)","(29.54, 0.77)","(106.99, 1.12)","(55.23, 0.15)","(132.24, 1.39)","(106.88, 1.41)"
emt-dlfr,0.5,,"(68.61, 1.49)","(68.67, 1.46)","(69.31, 1.55)","(69.47, 1.51)","(28.91, 2.01)","(26.82, 1.33)","(119.51, 1.99)","(45.09, 1.61)","(147.1, 1.33)","(119.53, 1.7)"
emt-dlfr,0.6,,"(63.22, 0.18)","(62.96, 0.38)","(63.01, 0.38)","(62.9, 0.5)","(25.56, 1.79)","(24.05, 1.52)","(133.32, 1.89)","(35.12, 2.61)","(160.11, 2.62)","(132.66, 2.31)"
emt-dlfr,0.7,,"(62.1, 1.72)","(62.14, 1.77)","(62.29, 1.66)","(62.46, 1.71)","(25.75, 1.0)","(24.54, 0.96)","(134.7, 2.27)","(29.85, 2.64)","(162.94, 1.85)","(134.69, 2.21)"
emt-dlfr,0.8,,"(55.49, 4.64)","(53.16, 6.32)","(54.68, 5.49)","(52.51, 7.14)","(20.31, 2.93)","(19.58, 2.66)","(146.47, 7.18)","(21.11, 6.6)","(173.52, 5.47)","(145.97, 7.43)"
emt-dlfr,0.9,,"(53.31, 2.99)","(49.76, 7.5)","(52.19, 3.86)","(48.81, 8.36)","(18.03, 2.21)","(17.93, 2.08)","(146.15, 4.78)","(11.46, 3.91)","(177.13, 3.85)","(145.88, 4.07)"
emt-dlfr,1.0,,"(54.96, 1.15)","(54.12, 1.49)","(54.68, 1.7)","(53.98, 1.84)","(16.18, 0.55)","(16.18, 0.55)","(142.61, 2.4)","(5.71, 0.94)","(172.45, 4.05)","(142.42, 2.67)"
emt-dlfr,AUC,,67.6,67.0,68.1,67.5,31.2,28.7,116.2,44.8,141.3,116.0
emt-dlfr,0.0,,"(82.51, 0.12)","(82.47, 0.14)","(84.04, 0.19)","(84.05, 0.15)","(51.7, 1.57)","(45.33, 1.68)","(71.59, 1.02)","(79.22, 0.18)","(-229.69, 1.97)","(71.28, 1.19)"
emt-dlfr,0.1,,"(79.64, 0.56)","(79.58, 0.51)","(81.25, 0.66)","(81.26, 0.6)","(47.13, 1.01)","(42.08, 0.95)","(79.16, 2.11)","(75.68, 0.18)","(-185.21, 5.04)","(79.01, 1.93)"
emt-dlfr,0.2,,"(79.01, 0.54)","(79.02, 0.52)","(80.13, 0.69)","(80.2, 0.66)","(43.78, 1.85)","(38.97, 1.93)","(86.95, 1.69)","(70.45, 0.47)","(-170.21, 7.37)","(86.83, 0.69)"
emt-dlfr,0.3,,"(76.48, 0.72)","(76.54, 0.73)","(77.34, 0.52)","(77.46, 0.53)","(42.37, 0.88)","(38.24, 1.01)","(92.96, 1.05)","(65.73, 0.76)","(-147.56, 6.53)","(93.13, 1.36)"
emt-dlfr,0.4,,"(73.23, 0.45)","(73.29, 0.44)","(73.98, 0.5)","(74.13, 0.49)","(36.88, 0.32)","(32.31, 0.73)","(104.01, 2.03)","(57.27, 0.58)","(-122.94, 7.52)","(104.18, 1.91)"
emt-dlfr,0.5,,"(71.19, 0.25)","(71.21, 0.23)","(72.0, 0.44)","(72.11, 0.37)","(34.74, 1.25)","(30.9, 0.9)","(110.73, 1.53)","(50.94, 0.36)","(-104.3, 6.19)","(110.72, 1.76)"
emt-dlfr,0.6,,"(66.42, 0.34)","(66.43, 0.42)","(66.62, 0.65)","(66.74, 0.71)","(31.53, 1.1)","(28.57, 0.66)","(125.28, 3.17)","(39.67, 0.53)","(-69.23, 7.16)","(124.57, 3.29)"
emt-dlfr,0.7,,"(63.61, 0.84)","(63.57, 0.98)","(64.12, 0.97)","(64.2, 1.12)","(28.82, 1.38)","(25.99, 1.11)","(128.77, 2.26)","(36.81, 1.26)","(-67.29, 4.86)","(129.0, 1.62)"
emt-dlfr,0.8,,"(62.24, 0.95)","(61.8, 1.19)","(61.84, 1.4)","(61.56, 1.68)","(24.83, 1.96)","(22.98, 1.42)","(133.88, 4.21)","(33.13, 1.74)","(-31.37, 8.02)","(133.93, 4.17)"
emt-dlfr,0.9,,"(57.14, 0.41)","(56.64, 0.78)","(57.01, 0.66)","(56.64, 1.0)","(21.38, 0.25)","(20.46, 0.56)","(144.01, 5.21)","(18.54, 2.28)","(-26.87, 4.42)","(144.34, 5.97)"
emt-dlfr,1.0,,"(52.38, 1.57)","(49.81, 3.93)","(51.12, 1.94)","(48.74, 4.31)","(16.81, 0.7)","(16.81, 0.7)","(146.99, 2.43)","(7.23, 0.37)","(-58.97, 24.99)","(146.66, 2.5)"
emt-dlfr,AUC,,69.6,69.4,70.2,70.1,34.6,31.2,111.5,49.1,-106.9,111.5
emt-dlfr,0.0,,"(82.26, 0.38)","(82.18, 0.41)","(84.04, 0.5)","(84.02, 0.51)","(50.68, 0.45)","(44.61, 0.52)","(71.18, 0.69)","(79.86, 0.38)","(-235.07, 0.77)","(71.25, 0.72)"
emt-dlfr,0.1,,"(80.37, 0.25)","(80.31, 0.24)","(81.91, 0.47)","(81.91, 0.47)","(47.67, 0.62)","(42.71, 0.52)","(77.61, 0.49)","(75.9, 0.17)","(-188.41, 2.15)","(77.63, 0.15)"
emt-dlfr,0.2,,"(78.04, 0.37)","(78.06, 0.34)","(79.07, 0.43)","(79.15, 0.41)","(43.34, 1.55)","(38.73, 1.48)","(86.46, 0.71)","(70.44, 0.56)","(-169.22, 1.73)","(86.21, 0.32)"
emt-dlfr,0.3,,"(77.41, 0.86)","(77.41, 0.84)","(78.3, 0.97)","(78.37, 0.95)","(41.69, 0.63)","(37.36, 0.95)","(92.08, 1.32)","(65.76, 0.73)","(-148.85, 0.33)","(91.91, 1.0)"
emt-dlfr,0.4,,"(73.52, 0.48)","(73.53, 0.43)","(74.34, 0.61)","(74.43, 0.57)","(37.76, 1.49)","(33.43, 1.79)","(102.75, 2.23)","(57.47, 1.06)","(-126.97, 4.99)","(102.77, 2.38)"
emt-dlfr,0.5,,"(70.31, 1.2)","(70.37, 1.2)","(70.28, 1.4)","(70.44, 1.38)","(33.82, 1.41)","(30.42, 1.33)","(113.21, 3.21)","(50.4, 1.02)","(-94.9, 9.84)","(113.0, 3.4)"
emt-dlfr,0.6,,"(65.74, 0.83)","(65.79, 0.86)","(66.16, 0.62)","(66.32, 0.65)","(32.46, 2.45)","(29.55, 2.27)","(123.88, 3.27)","(40.39, 0.76)","(-73.62, 9.1)","(124.04, 3.7)"
emt-dlfr,0.7,,"(63.12, 0.41)","(63.09, 0.6)","(63.51, 0.52)","(63.6, 0.7)","(27.79, 0.96)","(25.9, 0.91)","(125.87, 2.06)","(36.55, 0.46)","(-61.35, 14.64)","(125.55, 2.33)"
emt-dlfr,0.8,,"(61.86, 0.07)","(61.52, 0.26)","(61.33, 0.26)","(61.17, 0.46)","(24.83, 1.32)","(22.84, 1.08)","(138.13, 3.32)","(30.67, 0.99)","(-48.05, 1.92)","(137.87, 3.35)"
emt-dlfr,0.9,,"(57.24, 0.77)","(57.28, 0.79)","(57.26, 0.75)","(57.44, 0.78)","(24.05, 1.14)","(22.64, 0.8)","(143.68, 1.32)","(20.23, 1.27)","(-40.03, 29.85)","(144.07, 2.18)"
emt-dlfr,1.0,,"(51.46, 0.32)","(47.84, 1.56)","(50.0, 0.45)","(46.57, 1.72)","(17.06, 0.54)","(17.06, 0.54)","(147.4, 2.33)","(8.1, 0.73)","(-86.37, 20.75)","(147.35, 2.4)"
emt-dlfr,AUC,,69.4,69.2,69.9,69.8,34.7,31.4,111.3,49.2,-111.2,111.2
emt-dlfr,0.0,,"(82.26, 0.38)","(82.18, 0.41)","(84.04, 0.5)","(84.02, 0.51)","(50.68, 0.45)","(44.61, 0.52)","(71.18, 0.69)","(79.86, 0.38)","(-235.07, 0.77)","(71.25, 0.72)"
emt-dlfr,0.1,,"(80.37, 0.25)","(80.31, 0.24)","(81.91, 0.47)","(81.91, 0.47)","(47.67, 0.62)","(42.71, 0.52)","(77.61, 0.49)","(75.9, 0.17)","(-188.41, 2.15)","(77.63, 0.15)"
emt-dlfr,0.2,,"(78.04, 0.37)","(78.06, 0.34)","(79.07, 0.43)","(79.15, 0.41)","(43.34, 1.55)","(38.73, 1.48)","(86.46, 0.71)","(70.44, 0.56)","(-169.22, 1.73)","(86.21, 0.32)"
emt-dlfr,0.3,,"(77.41, 0.86)","(77.41, 0.84)","(78.3, 0.97)","(78.37, 0.95)","(41.69, 0.63)","(37.36, 0.95)","(92.08, 1.32)","(65.76, 0.73)","(-148.85, 0.33)","(91.91, 1.0)"
emt-dlfr,0.4,,"(73.52, 0.48)","(73.53, 0.43)","(74.34, 0.61)","(74.43, 0.57)","(37.76, 1.49)","(33.43, 1.79)","(102.75, 2.23)","(57.47, 1.06)","(-126.97, 4.99)","(102.77, 2.38)"
emt-dlfr,0.5,,"(70.31, 1.2)","(70.37, 1.2)","(70.28, 1.4)","(70.44, 1.38)","(33.82, 1.41)","(30.42, 1.33)","(113.21, 3.21)","(50.4, 1.02)","(-94.9, 9.84)","(113.0, 3.4)"
emt-dlfr,0.6,,"(65.74, 0.83)","(65.79, 0.86)","(66.16, 0.62)","(66.32, 0.65)","(32.46, 2.45)","(29.55, 2.27)","(123.88, 3.27)","(40.39, 0.76)","(-73.62, 9.1)","(124.04, 3.7)"
emt-dlfr,0.7,,"(63.12, 0.41)","(63.09, 0.6)","(63.51, 0.52)","(63.6, 0.7)","(27.79, 0.96)","(25.9, 0.91)","(125.87, 2.06)","(36.55, 0.46)","(-61.35, 14.64)","(125.55, 2.33)"
emt-dlfr,0.8,,"(61.86, 0.07)","(61.52, 0.26)","(61.33, 0.26)","(61.17, 0.46)","(24.83, 1.32)","(22.84, 1.08)","(138.13, 3.32)","(30.67, 0.99)","(-48.05, 1.92)","(137.87, 3.35)"
emt-dlfr,0.9,,"(57.24, 0.77)","(57.28, 0.79)","(57.26, 0.75)","(57.44, 0.78)","(24.05, 1.14)","(22.64, 0.8)","(143.68, 1.32)","(20.23, 1.27)","(-40.03, 29.85)","(144.07, 2.18)"
emt-dlfr,1.0,,"(51.46, 0.32)","(47.84, 1.56)","(50.0, 0.45)","(46.57, 1.72)","(17.06, 0.54)","(17.06, 0.54)","(147.4, 2.33)","(8.1, 0.73)","(-86.37, 20.75)","(147.35, 2.4)"
emt-dlfr,AUC,,69.4,69.2,69.9,69.8,34.7,31.4,111.3,49.2,-111.2,111.2
emt-dlfr,0.0,,"(83.09, 0.52)","(83.01, 0.47)","(84.71, 0.56)","(84.68, 0.5)","(51.85, 0.6)","(45.82, 0.66)","(70.94, 1.68)","(79.57, 0.66)","(-233.0, 2.53)","(71.32, 1.81)"
emt-dlfr,0.1,,"(80.03, 0.54)","(79.98, 0.5)","(81.6, 0.68)","(81.62, 0.64)","(47.62, 0.67)","(42.91, 0.6)","(77.52, 1.22)","(76.23, 0.28)","(-193.63, 3.28)","(77.76, 1.53)"
emt-dlfr,0.2,,"(78.96, 0.07)","(79.0, 0.08)","(80.08, 0.14)","(80.18, 0.13)","(43.0, 1.37)","(38.24, 1.01)","(87.72, 2.27)","(70.83, 0.65)","(-164.66, 7.27)","(87.98, 2.26)"
emt-dlfr,0.3,,"(75.07, 0.95)","(75.13, 0.96)","(75.91, 0.82)","(76.04, 0.82)","(40.23, 1.37)","(36.05, 1.04)","(96.2, 1.29)","(63.21, 0.23)","(-141.67, 2.98)","(95.74, 1.38)"
emt-dlfr,0.4,,"(72.45, 0.72)","(72.52, 0.72)","(72.97, 0.83)","(73.12, 0.82)","(36.15, 0.78)","(31.73, 1.17)","(105.18, 1.33)","(55.76, 0.53)","(-116.13, 4.42)","(105.21, 1.13)"
emt-dlfr,0.5,,"(69.92, 0.45)","(69.98, 0.45)","(70.58, 0.66)","(70.73, 0.66)","(30.66, 1.26)","(28.18, 1.62)","(116.37, 1.21)","(49.04, 0.8)","(-80.07, 7.75)","(116.19, 1.79)"
emt-dlfr,0.6,,"(64.97, 1.51)","(65.05, 1.51)","(65.19, 1.88)","(65.39, 1.87)","(27.79, 0.38)","(26.24, 0.41)","(126.32, 1.24)","(36.8, 1.95)","(-54.62, 1.6)","(126.02, 1.78)"
emt-dlfr,0.7,,"(63.9, 1.44)","(63.94, 1.46)","(64.38, 1.37)","(64.54, 1.39)","(25.85, 3.02)","(24.39, 2.68)","(129.57, 4.43)","(34.66, 3.0)","(-34.2, 17.47)","(129.85, 4.57)"
emt-dlfr,0.8,,"(60.69, 1.25)","(60.45, 1.39)","(60.26, 1.37)","(60.19, 1.55)","(23.71, 1.6)","(22.5, 1.51)","(138.95, 2.75)","(28.07, 0.84)","(-3.78, 9.4)","(138.9, 3.06)"
emt-dlfr,0.9,,"(53.94, 1.05)","(52.8, 1.82)","(53.4, 1.51)","(52.42, 2.25)","(20.11, 1.14)","(19.77, 1.08)","(143.49, 3.19)","(15.24, 0.64)","(28.67, 13.86)","(142.96, 3.03)"
emt-dlfr,1.0,,"(53.94, 0.9)","(53.49, 1.33)","(53.3, 1.13)","(53.04, 1.55)","(16.76, 1.14)","(16.76, 1.14)","(143.25, 2.49)","(7.21, 1.36)","(-46.07, 12.17)","(143.03, 2.34)"
emt-dlfr,AUC,,68.8,68.7,69.3,69.3,32.9,30.1,112.8,47.3,-90.0,112.8
emt-dlfr,0.0,,"(82.65, 0.55)","(82.6, 0.47)","(84.3, 0.82)","(84.3, 0.74)","(50.73, 2.15)","(44.95, 1.57)","(72.17, 1.92)","(79.4, 0.32)","(42.75, 2.72)","(72.17, 1.93)"
emt-dlfr,0.1,,"(79.83, 0.48)","(79.79, 0.45)","(81.45, 0.47)","(81.48, 0.44)","(47.47, 1.53)","(42.22, 1.41)","(78.64, 1.14)","(75.59, 0.48)","(72.43, 2.09)","(78.54, 1.16)"
emt-dlfr,0.2,,"(78.62, 0.77)","(78.64, 0.74)","(79.62, 0.92)","(79.7, 0.89)","(43.2, 3.45)","(38.82, 2.78)","(88.45, 2.97)","(69.46, 0.57)","(85.36, 2.13)","(88.94, 2.55)"
emt-dlfr,0.3,,"(75.07, 2.06)","(75.07, 2.03)","(76.27, 2.1)","(76.34, 2.06)","(40.91, 1.01)","(36.59, 0.78)","(94.73, 2.08)","(63.47, 1.11)","(92.62, 1.21)","(94.42, 1.48)"
emt-dlfr,0.4,,"(72.79, 1.0)","(72.82, 1.03)","(73.53, 0.94)","(73.64, 0.97)","(35.86, 0.94)","(32.07, 0.43)","(104.56, 0.9)","(56.39, 2.28)","(105.24, 0.65)","(104.5, 1.12)"
emt-dlfr,0.5,,"(70.75, 0.34)","(70.66, 0.3)","(71.8, 0.78)","(71.81, 0.64)","(31.83, 1.35)","(29.01, 1.49)","(113.15, 2.07)","(48.95, 0.5)","(118.39, 0.92)","(112.5, 1.91)"
emt-dlfr,0.6,,"(63.75, 3.14)","(63.69, 3.33)","(64.13, 3.0)","(64.17, 3.18)","(25.07, 3.35)","(23.96, 2.51)","(128.23, 3.66)","(33.41, 7.74)","(136.13, 3.94)","(127.99, 3.74)"
