Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.7,,"(62.92, 1.42)","(62.24, 2.48)","(64.17, 1.02)","(63.66, 1.99)","(22.79, 1.72)","(21.82, 1.17)","(130.7, 2.2)","(29.13, 4.47)","(157.63, 0.9)","(130.55, 2.17)"
emt-dlfr,0.8,,"(59.67, 0.66)","(59.43, 0.76)","(59.81, 1.21)","(59.73, 1.46)","(19.29, 2.57)","(18.9, 2.71)","(140.19, 5.31)","(20.19, 4.47)","(167.12, 6.1)","(139.96, 5.09)"
emt-dlfr,0.9,,"(55.1, 0.82)","(54.99, 1.01)","(54.68, 1.07)","(54.74, 1.28)","(15.55, 0.18)","(15.55, 0.18)","(143.13, 0.9)","(6.38, 1.48)","(171.22, 2.9)","(142.73, 1.16)"
emt-dlfr,1.0,,"(54.03, 0.97)","(52.06, 2.51)","(53.1, 1.48)","(51.3, 2.98)","(16.18, 0.55)","(16.18, 0.55)","(145.74, 1.5)","(7.84, 0.96)","(175.3, 2.54)","(145.7, 1.24)"
emt-dlfr,AUC,,68.6,68.4,69.3,69.2,32.0,29.3,113.7,44.7,138.6,113.7
emt-dlfr,0.0,,"(82.65, 0.54)","(82.62, 0.51)","(84.45, 0.82)","(84.48, 0.78)","(50.1, 0.77)","(44.31, 0.54)","(74.2, 1.03)","(78.41, 0.52)","(74.25, 1.53)","(74.25, 1.53)"
emt-dlfr,0.1,,"(80.95, 1.37)","(80.8, 1.28)","(82.92, 1.51)","(82.85, 1.42)","(48.59, 0.7)","(43.15, 0.6)","(79.18, 3.63)","(74.37, 2.37)","(101.15, 3.98)","(78.89, 3.62)"
emt-dlfr,0.2,,"(76.34, 1.58)","(76.38, 1.57)","(77.49, 1.61)","(77.6, 1.58)","(44.36, 2.02)","(39.5, 1.8)","(91.41, 3.16)","(66.71, 1.59)","(114.39, 3.0)","(91.96, 3.16)"
emt-dlfr,0.3,,"(73.91, 0.48)","(73.87, 0.54)","(75.56, 0.31)","(75.62, 0.36)","(41.35, 0.48)","(36.88, 0.41)","(95.96, 0.87)","(61.13, 1.37)","(118.76, 0.86)","(95.79, 0.69)"
emt-dlfr,0.4,,"(70.65, 0.79)","(70.66, 0.83)","(71.75, 0.68)","(71.86, 0.7)","(31.34, 1.24)","(28.82, 1.85)","(111.5, 0.6)","(49.35, 0.63)","(133.22, 1.84)","(111.09, 0.63)"
emt-dlfr,0.5,,"(67.25, 2.1)","(67.3, 2.09)","(68.09, 2.23)","(68.25, 2.21)","(29.54, 1.79)","(27.26, 1.14)","(122.54, 4.16)","(39.11, 2.51)","(144.68, 4.41)","(122.26, 4.46)"
