Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(61.13, 0.9)","(60.83, 1.03)","(60.62, 1.01)","(60.48, 1.13)","(24.54, 0.3)","(23.42, 0.45)","(141.05, 1.87)","(25.72, 0.63)","(170.41, 2.57)","(140.63, 2.23)"
emt-dlfr,"(53.74, 6.94)","(46.32, 14.08)","(52.44, 7.94)","(45.07, 15.15)","(20.6, 3.38)","(19.97, 2.61)","(145.74, 5.2)","(20.56, 9.41)","(176.71, 6.42)","(145.89, 5.56)"
emt-dlfr,"(59.28, 2.0)","(58.28, 2.8)","(58.54, 2.25)","(57.72, 3.08)","(23.18, 1.34)","(22.16, 1.06)","(140.88, 3.6)","(27.09, 2.79)","(171.77, 3.63)","(140.76, 4.11)"
emt-dlfr,"(60.74, 0.61)","(60.36, 0.78)","(60.21, 0.87)","(60.01, 1.14)","(24.49, 1.49)","(23.13, 1.04)","(140.18, 1.04)","(27.4, 2.37)","(169.76, 1.05)","(140.3, 0.77)"
emt-dlfr,"(58.36, 3.25)","(57.67, 3.51)","(57.62, 3.39)","(57.11, 3.65)","(19.92, 3.13)","(19.29, 2.63)","(140.16, 4.09)","(22.6, 6.81)","(168.93, 2.55)","(140.17, 3.94)"
emt-dlfr,"(58.11, 2.95)","(57.41, 2.58)","(57.37, 2.85)","(56.85, 2.49)","(20.46, 3.14)","(19.58, 2.51)","(142.51, 2.02)","(21.12, 9.47)","(172.99, 2.88)","(142.2, 2.13)"
emt-dlfr,"(59.28, 1.7)","(58.35, 2.64)","(58.79, 2.17)","(58.03, 3.09)","(23.03, 0.24)","(22.06, 0.18)","(141.75, 7.3)","(25.75, 1.77)","(171.05, 8.18)","(141.6, 7.97)"
emt-dlfr,"(61.47, 1.06)","(61.46, 1.11)","(61.38, 1.28)","(61.52, 1.33)","(24.2, 1.97)","(22.79, 1.53)","(135.21, 0.88)","(27.82, 1.02)","(164.61, 0.11)","(134.88, 1.07)"
emt-dlfr,"(58.41, 1.58)","(58.1, 1.28)","(57.98, 1.25)","(57.84, 0.96)","(21.14, 2.18)","(20.65, 1.84)","(140.56, 1.48)","(20.01, 9.09)","(169.38, 3.53)","(140.87, 2.3)"
emt-dlfr,"(61.32, 0.38)","(61.03, 0.27)","(60.92, 0.15)","(60.79, 0.25)","(24.15, 0.65)","(22.74, 0.72)","(140.73, 1.83)","(28.55, 0.45)","(169.42, 2.33)","(140.55, 2.53)"
emt-dlfr,"(60.74, 2.17)","(60.55, 2.36)","(60.77, 1.62)","(60.73, 1.83)","(23.03, 1.44)","(22.11, 1.07)","(135.74, 1.36)","(25.43, 4.84)","(166.57, 1.1)","(136.11, 0.63)"
emt-dlfr,"(59.04, 2.33)","(58.4, 2.6)","(58.64, 2.49)","(58.15, 2.79)","(21.52, 3.39)","(20.55, 2.69)","(141.61, 3.29)","(23.95, 5.29)","(171.12, 4.03)","(141.88, 2.66)"
emt-dlfr,"(60.35, 0.94)","(60.23, 0.8)","(60.26, 0.85)","(60.29, 0.76)","(22.21, 1.34)","(21.38, 1.01)","(136.09, 1.8)","(25.36, 2.04)","(166.26, 2.24)","(137.1, 2.04)"
emt-dlfr,"(59.04, 2.33)","(58.4, 2.6)","(58.64, 2.49)","(58.15, 2.79)","(21.52, 3.39)","(20.55, 2.69)","(141.61, 3.29)","(23.95, 5.29)","(171.12, 4.03)","(141.88, 2.66)"
emt-dlfr,"(55.49, 4.64)","(53.16, 6.32)","(54.68, 5.49)","(52.51, 7.14)","(20.31, 2.93)","(19.58, 2.66)","(146.47, 7.18)","(21.11, 6.6)","(173.52, 5.47)","(145.97, 7.43)"
emt-dlfr,"(62.24, 0.95)","(61.8, 1.19)","(61.84, 1.4)","(61.56, 1.68)","(24.83, 1.96)","(22.98, 1.42)","(133.88, 4.21)","(33.13, 1.74)","(-31.37, 8.02)","(133.93, 4.17)"
